"DATE","TIME PERIOD","US dollar/Euro ECB reference exchange rate (EXR.M.USD.EUR.SP00.A)"
"2023-06-30","2023Jun","1.0840"
"2023-07-31","2023Jul","1.1058"
"2023-08-31","2023Aug","1.0909"
"2023-09-30","2023Sep","1.0684"
"2023-10-31","2023Oct","1.0563"
"2023-11-30","2023Nov","1.0808"
"2023-12-31","2023Dec","1.0903"
"2024-01-31","2024Jan","1.0905"
"2024-02-29","2024Feb","1.0795"
"2024-03-31","2024Mar","1.0872"
"2024-04-30","2024Apr","1.0728"
"2024-05-31","2024May","1.0812"
"2024-06-30","2024Jun","1.0759"
"2024-07-31","2024Jul","1.0844"
"2024-08-31","2024Aug","1.1012"
"2024-09-30","2024Sep","1.1106"
"2024-10-31","2024Oct","1.0904"
"2024-11-30","2024Nov","1.0630"
"2024-12-31","2024Dec","1.0479"
"2025-01-31","2025Jan","1.0354"
"2025-02-28","2025Feb","1.0413"
"2025-03-31","2025Mar","1.0807"
"2025-04-30","2025Apr","1.1214"
"2025-05-31","2025May","1.1278"
"2025-06-30","2025Jun","1.1516"
"2025-07-31","2025Jul","1.1677"
"2025-08-31","2025Aug","1.1631"
"2025-09-30","2025Sep","1.1732"
"2025-10-31","2025Oct","1.1630"
"2025-11-30","2025Nov","1.1560"
"2025-12-31","2025Dec","1.1709"
"2026-01-31","2026Jan","1.1738"
"2026-02-28","2026Feb","1.1824"
"2026-03-31","2026Mar","1.1558"
"2026-04-30","2026Apr","1.1706"
"2026-05-31","2026May","1.1673"
"2026-06-30","2026Jun","1.1518"
"2026-07-31","2026Jul","1.1417"
