"DATE","TIME PERIOD","Euribor 3-month - Historical close, average of observations through period (FM.M.U2.EUR.RT.MM.EURIBOR3MD_.HSTA)"
"2015-10-31","2015Oct","-0.0535909"
"2015-11-30","2015Nov","-0.0876190"
"2015-12-31","2015Dec","-0.1263182"
"2016-01-31","2016Jan","-0.1461500"
"2016-02-29","2016Feb","-0.1835714"
"2016-03-31","2016Mar","-0.2285238"
"2016-04-30","2016Apr","-0.2491905"
"2016-05-31","2016May","-0.2571818"
"2016-06-30","2016Jun","-0.2679091"
"2016-07-31","2016Jul","-0.2945238"
"2016-08-31","2016Aug","-0.2982174"
"2016-09-30","2016Sep","-0.3016364"
"2016-10-31","2016Oct","-0.3090000"
"2016-11-30","2016Nov","-0.3126818"
"2016-12-31","2016Dec","-0.3157619"
"2017-01-31","2017Jan","-0.3255455"
"2017-02-28","2017Feb","-0.3286000"
"2017-03-31","2017Mar","-0.3293478"
"2017-04-30","2017Apr","-0.3303889"
"2017-05-31","2017May","-0.3294545"
"2017-06-30","2017Jun","-0.3300000"
"2017-07-31","2017Jul","-0.3304286"
"2017-08-31","2017Aug","-0.3290870"
"2017-09-30","2017Sep","-0.3293810"
"2017-10-31","2017Oct","-0.3295455"
"2017-11-30","2017Nov","-0.3290000"
"2017-12-31","2017Dec","-0.3278947"
"2018-01-31","2018Jan","-0.3284545"
"2018-02-28","2018Feb","-0.3285000"
"2018-03-31","2018Mar","-0.3279048"
"2018-04-30","2018Apr","-0.3284500"
"2018-05-31","2018May","-0.3252273"
"2018-06-30","2018Jun","-0.3220476"
"2018-07-31","2018Jul","-0.3207273"
"2018-08-31","2018Aug","-0.3190000"
"2018-09-30","2018Sep","-0.3188500"
"2018-10-31","2018Oct","-0.3176957"
"2018-11-30","2018Nov","-0.3163636"
"2018-12-31","2018Dec","-0.3118947"
"2019-01-31","2019Jan","-0.3080000"
"2019-02-28","2019Feb","-0.3084500"
"2019-03-31","2019Mar","-0.3091905"
"2019-04-30","2019Apr","-0.3104500"
"2019-05-31","2019May","-0.3118636"
"2019-06-30","2019Jun","-0.3289000"
"2019-07-31","2019Jul","-0.3648696"
"2019-08-31","2019Aug","-0.4076818"
"2019-09-30","2019Sep","-0.4175714"
"2019-10-31","2019Oct","-0.4128696"
"2019-11-30","2019Nov","-0.4012857"
"2019-12-31","2019Dec","-0.3947000"
"2020-01-31","2020Jan","-0.3911364"
"2020-02-29","2020Feb","-0.4088500"
"2020-03-31","2020Mar","-0.4166364"
"2020-04-30","2020Apr","-0.2540500"
"2020-05-31","2020May","-0.2719500"
"2020-06-30","2020Jun","-0.3760000"
"2020-07-31","2020Jul","-0.4441304"
"2020-08-31","2020Aug","-0.4797143"
"2020-09-30","2020Sep","-0.4913636"
"2020-10-31","2020Oct","-0.5091364"
"2020-11-30","2020Nov","-0.5208571"
"2020-12-31","2020Dec","-0.5380909"
"2021-01-31","2021Jan","-0.5471500"
"2021-02-28","2021Feb","-0.5411000"
"2021-03-31","2021Mar","-0.5390870"
"2021-04-30","2021Apr","-0.5381500"
"2021-05-31","2021May","-0.5400952"
"2021-06-30","2021Jun","-0.5429091"
"2021-07-31","2021Jul","-0.5448182"
"2021-08-31","2021Aug","-0.5475909"
"2021-09-30","2021Sep","-0.5450455"
"2021-10-31","2021Oct","-0.5498095"
"2021-11-30","2021Nov","-0.5673636"
"2021-12-31","2021Dec","-0.5819565"
"2022-01-31","2022Jan","-0.5601429"
"2022-02-28","2022Feb","-0.5315000"
"2022-03-31","2022Mar","-0.4954348"
"2022-04-30","2022Apr","-0.4478947"
"2022-05-31","2022May","-0.3857273"
"2022-06-30","2022Jun","-0.2392273"
"2022-07-31","2022Jul","0.0366190"
"2022-08-31","2022Aug","0.3947391"
"2022-09-30","2022Sep","1.0108636"
"2022-10-31","2022Oct","1.4276667"
"2022-11-30","2022Nov","1.8252273"
"2022-12-31","2022Dec","2.0634762"
"2023-01-31","2023Jan","2.3448636"
"2023-02-28","2023Feb","2.6403500"
"2023-03-31","2023Mar","2.9105652"
